rule_id,rule_type,headword,key_reading,key_gloss,page,output_index,replacement_reading,replacement_gloss,enabled,review_status,note
007-reading-28a15a23525b415a,reading,,"ău pă, ău âi",a step-father or step-mother.,33,1,"ău pĕ, ău âi",,true,pending,
007-review-aa65370c48d4cce5,review,,"ŭ khí chīu-bâk chiu-thiⁿ-sî lut hîeh, ṳ khí chīu-bâk tang-thiⁿ-sî hîeh cìaⁿ lut, ŭ khí chīu-bâk bô̤ mih lut hîeh","some shrubs shed their leaves in autumn, some in winter, and some do not shed them much at all.",34,1,"ŭ khí chīu-bâk chiu-thiⁿ-sî lut hîeh, ŭ khí chīu-bâk tang-thiⁿ-sî hîeh cìaⁿ lut, ŭ khí chīu-bâk bô̤ mih lut hîeh",,true,pending,
007-reading-58ff17f5184d3897,reading,,pháu bé siā cìⁿ,shoot arrows from the back of a horse running at full gallop.,35,1,pháu bé sīa cìⁿ,,true,pending,
007-review-052b7d1c8d0f4da2,review,,"báu jît, báu gûeh, bán nî","the day, the month, and the year, designated in the cycle by the hare.",35,1,"báu jît, báu gûeh, báu nî",,true,pending,
007-review-5d2d50b8df4eac3e,review,,bé cang mó̤ⁿ,horse's mane.,35,1,bé cang mô̤ⁿ,horse's mane.,true,pending,
007-review-4b630fef4b278c35,review,,bê-lêk-tŏ,a surcingle.,35,1,bé-lêk-tŏ,,true,pending,
007-review-07b420943132c27f,review,,kìm bô pàng bé,"to forbid the employment of ""ponies"" at a literary examination.",35,1,kìm bô̤ pàng bé,"to forbid the employment of ""ponies"" at a literary examination.",true,pending,
007-review-c0293d9f01595959,review,,màiⁿ chòng i kai bé thâu,do not cross over in front of his horse.,35,1,màiⁿ chòng i kâi bé thâu,,true,pending,
007-review-49afbfed2e6d83e2,review,,"cêk ngân ìn chut, sì bé lâng tui","when a word is once spoken, a team of horses cannot bring it back.",36,1,"cêk ngân ìⁿ chut, sì bé lâng tui",,true,pending,
007-review-031f1e5c1f5419b9,review,,i àm-cĕⁿ bih cêk chiu ké-húe tŏ̤ hṳ́-kò̤,he secretly concealed a pile of weapons there.,37,1,i àm-cĕⁿ bih cêk chíu ké-húe tŏ̤ hṳ̀-kò̤,,true,pending,
007-review-ede88ee50436c992,review,,ki chui jû buah bît,a mouth speaking honied words.,37,1,ki chùi jû buah bît,,true,pending,
007-example_split-f1ff03afea7f7f91,example_split,,cù tíaⁿ kâi tíaⁿ-bô,the molds used in casting iron pans; thô bô; a clay mold.,38,1,cù tíaⁿ kâi tíaⁿ-bô,the molds used in casting iron pans.,true,pending,
007-example_split-f1ff03afea7f7f91,example_split,,cù tíaⁿ kâi tíaⁿ-bô,the molds used in casting iron pans; thô bô; a clay mold.,38,2,thô bô,a clay mold.,true,pending,
007-review-5572fade37afb9dd,review,,bó,"The Chinese acre, which is 733 3 square yards, or about one sixth of an English acre.",38,1,,"The Chinese acre, which is 733-1/3 square yards, or about one sixth of an English acre.",true,pending,
007-review-dd726089a7a4dc9c,review,,"bō sĭ sôk câp thien-kang. cí câp kâi sĭ thien-kang, sôk îang; hṳ́ câp-jī kâi sĭ tī-ciⁿ, sôk im","these ten are the heavenly cycle, and pertain to the male principle in nature; those twelve are the earthly cycle and pertain to the female principle in nature.",38,1,"bō sî sôk câp thien-kang. cí câp kâi sĭ thien-kang, sôk îang hṳ́ câp-jī kâi sĭ tī ciⁿ, sôk im",,true,pending,
007-review-a2bc36985dd2617f,review,,cang cáu-kíaⁿ kè khṳt i cò̤ bó̤,gave his daughter to him to be his wife.,38,1,cang cáu-kíaⁿ kè khṳt i cò̤ bó̤,,true,pending,
007-reading-44614ecfc7f9a31b,reading,,bò̤ ŭn hn̆g,not very far.,39,1,bô̤ ŭa hn̆g,,true,pending,
007-reading-148fa0331ad9b206,reading,,bô̤ chên bô̤ lí,no correct principles.,39,1,bô̤ chêng bô̤ lí,,true,pending,
007-reading-f40ff33076e4a1af,reading,,bô̤ hièⁿ ngía,not so handsome.,39,1,bô̤ hìeⁿ ngía,,true,pending,
007-reading-704efe1639bfb6a8,reading,,bô̤ khiông,inexhaustible.,39,1,bô̤ khîong,,true,pending,
007-reading-77cbaa15990d3cb4,reading,,ún īa bô̤,I also am destitute of them.,39,1,úa īa bô̤,,true,pending,
007-review-696eafe0f456a826,review,,bó̤ thàng hó̤ chēng,has nothing to wear.,39,1,bô̤ thàng hó̤ chēng,,true,pending,
007-review-31a4300b4f802a77,review,,bô̤ ang bô̤ kíaⁿ,neither husband not children.,39,1,,neither husband nor children.,true,pending,
007-review-1d60c825aa98345f,review,,bô̤ chú hó̤ khĭa-khí,no house to dwell in.,39,1,bô̤ chù hó̤ khĭa-khí,,true,pending,
007-review-5408dc0f872f987a,review,,bô̤ lṳ́ jîp lai,will not allow you to enter.,39,1,bô̤ lṳ́ jîp lâi,,true,pending,
007-review-46ddeae560396922,review,,bô̤ púaⁿ nâng tŏ̤,there was not a single soul there.,39,1,bô̤ pùaⁿ nâng tŏ̤,,true,pending,
007-review-68b46b31ed83e92e,review,,ciang bô̤ cò ŭ,make much ado about nothing.,39,1,ciang bô̤ cò̤ ŭ,,true,pending,
007-review-866b85d1650a9749,review,,i bô̤ sim̆-mih huaⁿ-hí,he was not very well pleased.,39,1,i bô̤ sĭm-mih huaⁿ-hí,,true,pending,
007-review-6230c8685dab85f8,review,,ki bó̤,"the second wife of one's father, the first being dead.",39,1,kì bó̤,,true,pending,
007-review-060616757754668f,review,,m̄ cai i ŏ a bŏi,do not know whether he is able to do it or not.,39,1,m̄ cai i ŏi a bŏi,,true,pending,
007-review-e0204a9450fa77b5,review,,"phêng-téng kâi nâng ío cōi tàⁿ cía ūe, cīeⁿ-ĕ-pùe cĭu bô̤ mih cōi tàⁿ cía ūe","this is said most frequently by equals to each other, those of unequal rank or age do not often speak thus.",39,1,,"this is said most frequently by equals to each other, those of unequal rank or age do not very often speak thus.",true,pending,
007-review-047f7d3438e9dce3,review,,îang bó̤,"mother, by adoption.",39,1,íang bó̤,,true,pending,
007-review-f7f1de90bf73ef0e,review,,"ā sĭ bô̤, hó̤ khṳ̀ bói","if there are none, go and buy some.",39,1,"ā sĭ bô̤, hó̤ khṳ̀ bói",,true,pending,
007-reading-a05ff0d5c992511f,reading,,cam-end bō̤,a helmet.,40,1,cam-eng bō̤,,true,pending,
007-reading-3ac651c9df44a4ad,reading,,"khì bûn, cíu bú",discard the civil service and enter the military.,40,1,"khì bûn, cĭu bú",,true,pending,
007-review-15d28cac1b189f5e,review,,bù-íang,to rear or nurture.,40,1,bú-íang,,true,pending,
007-review-0fb7cb9aa7053ac3,review,,bú,To pacity; to sooth; manage.,40,1,,To pacify; to soothe; manage.,true,pending,
007-review-b27ca61130e5a1d0,review,,eng-hîong bô̤ eng-bú cṳ tí,a valiant man without a field to make conquests in.,40,1,eng-hîong bô̤ eng-bú cṳ tī,,true,pending,
007-review-812308da457200bb,review,,líang bō̤,a light cap.,40,1,lîang bō̤,,true,pending,
007-reading-10923e90e35382ee,reading,,bū cúi lío cìaⁿ hó̤ sàṳ tò̤,"spurt water out of the mouth to settle the dust, and then you may sweep the floor.",41,1,bū cúi lío cìaⁿ hó̤ sàu tò̤,,true,pending,
007-reading-4c6c585d2010c05d,reading,,bū sí kuí câp nâng,killed several tens of persons by the blast.,41,1,bū sí kúi câp nâng,,true,pending,
007-reading-b77b93ed6d1eecb9,reading,,"tâng bû, sâi bû",east and west piazzas.,41,1,"tang bû, sai bû",,true,pending,
007-review-ebf681e60f357f47,review,,lâm-bú,a wizzard.,41,1,lâm-bû,,true,pending,
007-review-5b92c4d2a2ab6a0c,review,,"pìn koiⁿ bū-bū, lî hn̆g cĭu thóiⁿ m̄ kìⁿ","is full of mist, so that you cannot see far.",41,1,,"the air is full of mist, so that you cannot see far.",true,pending,
007-review-e80aef20543f7b51,review,,thóin tîeh bú-bú,appears very gallant.,41,1,thóiⁿ tîeh bú-bú,,true,pending,
007-reading-bc2022c0180bb411,reading,,"chíu buah m̄ khui, khîa ki to̤ lûi kĭo","if you cannot wipe it off with you hand, get a knife and scrape it off.",42,1,"chíu buah m̄ khui, khîa ki to̤ lâi kĭo",,true,pending,
007-review-5e09de68a1b6d707,review,,buah cò̤ kúi kò̤ eng,apportion for use in several places.,42,1,buah cò̤ kúi kò̤ ēng,,true,pending,
007-review-d5cb6ac217d42cf4,review,,"bûa kàn nĕ kng-kng, cìe-kiⁿ nang","use powder and rub it till it is very smooth, so you can see your face in it.",42,1,"ēng îeh bûa kàu nĕ kng-kng, cìe-kiⁿ nâng",,true,pending,
007-review-7bc2ac33c4bfd46d,review,,câp-ngŏ jit kìe-cò̤ bŭang,the fifteenth of the month is called the day of full moon.,42,1,câp-ngŏ jît kìe-cò̤ bŭang,,true,pending,
007-review-1ad0ad9377e3782e,review,,"kang ji chut thân, bûa cîaⁿ lău kâu",when working people make themselves conspicuous they will get reduced to the condition of apes.,42,1,"kang jī chut thâu, bûa cîaⁿ lău kâu",,true,pending,
007-review-a966420c583679d7,review,,kîaⁿ bûa lai sin piⁿ,come up close beside me.,42,1,kîaⁿ bûa lâi sin piⁿ,,true,pending,
007-review-c9731c39771dcbc1,review,,tōa miaⁿ bŭang kâi nâng,one whose name is widely known.,42,1,tōa mîaⁿ bŭang kâi nâng,,true,pending,
007-reading-6c57376165142e29,reading,,jîem àm cū huang bûe?,How late do you rake up the fire?,43,1,jîeh àm cū huang bûe ?,,true,pending,
007-reading-de68caaa7fce7cfa,reading,,pàng tō̤ mîn-chn̂g kha búe,put it there at the foot of the bed.,43,1,pàng tŏ̤ mîn-chn̂g kha búe,,true,pending,
007-review-a6138abee6055520,review,,bô̤ thâu bô̤ búe,without method.,43,1,,without methed.,true,pending,
007-review-66150e7c2c55110b,review,,bûe-pó tîam kâi a kîam kâi?,Are these plums sweet or salt?,43,1,,Are these dried plums sweet or salt ?,true,pending,
007-review-8a75a3f2889af358,review,,būe,Not yet; adverb of negation.,43,1,būe,,true,pending,
007-review-8423604b2f539a7d,review,,cò̤ sṳ̄ màiⁿ bô̤ bùe,finish up the things you do.,43,1,cò̤ sṳ̄ màiⁿ bô̤ búe,,true,pending,
007-review-8de12e5e8f023a81,review,,khṳ̀ kàu hṳ̀ búe-búe,go to the extreme end.,43,1,khṳ̀ kàu hṳ́ búe-búe,,true,pending,
007-review-9d6c13f40a778e01,review,,kàu hṳ̀ búe jû tōa,it is bigger at the other end.,43,1,kàu hṳ́ búe jú tōa,,true,pending,
007-review-f57995a235a0e5ce,review,,îeⁿ-bûe thien-phàu; îeⁿ-bûe chng,a disease of licentious people.,43,1,,a disease of licentions people.,true,pending,
007-review-38e146c54d29ed47,review,,ēng kàu hú búe jú hó̤,it will be better when it is nearly used up.,43,1,ēng kàu hṳ́ búe jú hó̤,,true,pending,
007-reading-9e13022cfaf262c7,reading,,bûn kháu,"the examinations, civil and military.",44,1,"bûn kháu, bú kháu",,true,pending,
007-review-455f0bae0fd5b9e6,review,,bun ngṳ̂n,"sycee, pure silver.",44,1,bûn ngṳ̂n,,true,pending,
007-review-7b58edf76bb74ae8,review,,bûn kuaⁿ,civil ofiicers.,44,1,,civil officers.,true,pending,
007-review-4d5a97054cceb9ae,review,,cíeⁿ-seⁿ tṳ-kíaⁿ bùn tit kùe mē?,Can the pigs wriggle through?,44,1,cìeⁿ-seⁿ tṳ-kíaⁿ bùn tit kùe mē ?,,true,pending,
007-review-f04af0939da5e3fe,review,,"i bùn lâi bùn khṳ̀, bùn bòi tit chut","he tried his best, but could not work his way though so as to get out.",44,1,"i bùn lâi bùn khṳ̀, bùn bŏi tit chut",,true,pending,
007-review-6b01456e6faef7ee,review,,kháu bûn kháu bú,examination of scholars and cadets.,44,1,,the examination of scholars and cadets.,true,pending,
007-reading-39dd2c94a6a5d04d,reading,,kiē bw̆n,sedan curtains.,45,1,kīe bw̆n,,true,pending,
007-review-cba7264c67641234,review,,"cêk pńg, bw̄n lâi",ten thousand per cent gain.,45,1,"cêk pńg, bw̄n lāi",,true,pending,
007-review-93a6e14afef96ef6,review,,cà-phìen,fraudulent.,46,1,,fraudnlent.,true,pending,
007-review-bcde962f77d0231e,review,,cí tîo koi câh ku-ā kò̤,tlus street is barred in several places.,46,1,,this street is barred in several places.,true,pending,
007-reading-de24949adf7b3f4d,reading,,"hṳ́ kâi sĭ mîaⁿ châk, tîeh lô̤h kha-câk","that is a famous robber, and he must be fettered.",47,1,"hṳ́ kâi sĭ mîaⁿ châk, tîeh lô̤h kha-câh",,true,pending,
007-reading-0266c58ed33be6ad,reading,,cí ciah cûn cài ŭ jîeh cōi tàⁿ?,How many piculs does this boat carry?,48,1,cí ciah cûn cài ŭ jîeh cōi tàⁿ ？,,true,pending,
007-reading-f50b30aab60e5233,reading,,lṳ́ câi sĭeⁿ,think again.,48,1,lṳ́ cài sĭeⁿ,,true,pending,
007-review-034bcc6711e7670e,review,,cài kàu múaⁿ-múaⁿ; caì kàu tĭⁿ-tĭⁿ,stowed full.,48,1,cài kàu múaⁿ-múaⁿ ； cài kàu tĭⁿ-tĭⁿ,,true,pending,
007-review-e49041030e73fbf4,review,,"tōa cam, jī cam, saⁿ cam, cam kíaⁿ","large, medium sized, fine, and very fine needles.",49,1,,"large, medium sized,tine,and very fine needles.",true,pending,
007-reading-82b1894c6369fcf0,reading,,"pâk càng kâi tek-hîeh ēng ke kùe jú hó̤, bŏ̤i chàu tek-hîeh bī","the bamboo leaves used in wrapping dumplings are better after having been used several times, for then they will not impart a taste to the dumpling.",51,1,"pâk càng kâi tek-hîeh ēng ke kùe jú hó̤, bŏi chàu tek-hîeh bī",,true,pending,
007-reading-2ae10421910d2794,reading,,pin-lô̤ cap maìⁿ phùi cêk saⁿ,do not get betel juice all over your jacket.,52,1,pin-lô̤ cap màiⁿ phùi cêk saⁿ,,true,pending,
007-reading-40b89dee580f62d4,reading,,pàng tŏ̤ tŏiⁿ saⁿ câng,put it on the third shelf.,52,1,peh kàu tŏiⁿ ngŏ câng,,true,pending,
007-review-354d0e880419a3b6,review,,hó̤ tit lṳ́ cāng úa cêk pì cṳ lak,I wish you would give me a helping hand for a moment.,52,1,hó̤ tit lṳ́ cāng úa cêk pì cṳ lâk,,true,pending,
007-review-4b6383eb2c82e640,review,,"hùi, sim, pî, kuaⁿ, sĭen, cía sí kìe-cò̤ ngŏ căng; tăi-chîang, sío-chîang, ūi, táⁿ, phâng-kuang, sim-pau-lôk, cía sĭ kìe-cò̤ lâk hú","the lungs, heart, spleen, liver and kidneys are called the five viscera; the large and small intestines, the stomach, the gall, the bladder, and the heart-case are called the membraneous viscera.",52,1,"hùi, sim, pî, kuaⁿ, sĭen, cía sĭ kìe-cò̤ ngŏ căng tăi-chîang, sío-chîang, ūi, táⁿ, phâng-kuang, sim-pau-lôk, cía sĭ kìe-cò̤ lâk hú",,true,pending,
007-review-ff500bfb59379da9,review,,hṳ̂ kâi thah tŏ̤ cí ĕ kàu hṳ́ téng ŭ nŏ̤ peh gūa keh tâh-pō-câng,that pagoda has over two hundred steps in its stairway.,52,1,hṳ́ kâi thah tŏ̤ cí ĕ kàu hṳ́ téng ŭ nŏ̤ peh gūa keh tâh-pō-câng,,true,pending,
007-review-afd8cf53a4accde4,review,,ngŏ-căng lâk-hú,all the internal organs of a body.,52,1,ngŏ-căng lăk-hú,,true,pending,
007-review-0bae99dcd49e9e56,review,,put kùe sù câp hàng sú,only a few short seasons.,52,1,put kùe sù câp hâng sú,,true,pending,
007-reading-df4a7d1102f37ec4,reading,,cíu cau,sâh cíu kâi cau; distiller’s grains.,53,1,cíu cau; sâh cíu kâi cau,,true,pending,
007-reading-61f2daf4e8f2fb0c,reading,,cău hŭam,an escaped criminal.,54,1,cáu hŭam,,true,pending,
007-review-1e06026ca8f182fd,review,,càu hûang-tì; càu huâng-sĭang,to make known to the emperor.,54,1,càu hûang-tì càu hûang-sĭang,,true,pending,
007-reading-9d1d32c6db96fc2f,reading,,cí ciah thīⁿ-saⁿ-chia sĭ tī-tîang cău-khí kâi?,Who invented this sewing machine?,55,1,cí ciah thīⁿ-saⁿ-chia sĭ tī-tîang cău-khí kâi ？,,true,pending,
007-reading-3fe1c8322aa66f2c,reading,,cîah ce pó cêk ak,fast as an offset to wickedness.,55,1,cîah ce pó cek ak,,true,pending,
007-review-30e706832dfdb752,review,,cău-kak,"legumes of the Gleditsia sinensis, used in making coarse soap.",55,1,,"legumes of the Gleditschia Sinensis, used in making coarse soap.",true,pending,
007-review-30ea9a0d67e17717,review,,khun caŭ,a girl's horoscope.,55,1,khun cău,,true,pending,
007-review-b8114d77530fedca,review,,cē,,56,1,cē,A contraction of cék ē; once; a little while; for a while.,true,pending,
007-reading-b0aa6693ac2dbf29,reading,,"sie ceⁿ boí, sie ceⁿ bōi",rivals in trade.,57,1,"ceⁿ bói, sie ceⁿ bōi",,true,pending,
007-reading-c23071e2db5c874e,reading,,sie ceⁿ sie ji'́ng,disputing in loud tones.,57,1,"sie ceⁿ, sie jíang",,true,pending,
007-review-82adde916cf93f68,review,,chĭ-ceⁿ kâi nâng,a huckster; a loafer.,57,1,chĭ-céⁿ kâi nâng,,true,pending,
007-reading-fe471df34d303338,reading,,chong thiⁿ lâh cêk,an enormous candle used in an illumination in the open air.,58,1,chong thiⁿ lâh cek,,true,pending,
007-reading-cf1026fe3805e490,reading,,cho̤ cêk,a suet candle.,58,1,cho̤ cek,,true,pending,
007-reading-59b4322e26d8c607,reading,,cúi cêk,a cat-tail rush.,58,1,cúi cek,,true,pending,
007-reading-d18c17bfeea40b9f,reading,,"tâng cek, siah cek, pêh-thih cêk","a brass, pewter, or tin cylinder, holding oil and a wick for burning it.",58,1,"tâng cek, siah cek, pêh-thih cek",,true,pending,
007-reading-f00c72dd9e09b448,reading,,íe cêk,make candles.,58,1,íe cek,,true,pending,
007-reading-2371fb8d18e60672,reading,,cêk ciah cío,a bird.,59,1,cêk ciu kîe; cêk tún kîe; cêk tîo kîe,,true,pending,
007-review-0c92da833b7e1a65,review,,"cêk phiak, cêk phîak",batch by batch.,59,1,"cêk phîak, cêk phîak",,true,pending,
007-review-658a5e128bc8db3f,review,,cêk tioh hêⁿ,a prawn.,59,1,cêk tioh hêⁿ,,true,pending,
007-review-e0acb4b6ae73e6c3,review,,i cêk póiⁿ chíu bŏi khîeh phû,he cannot raise his hand.,59,1,i cêk pôiⁿ chíu bŏi khîeh phû,,true,pending,
007-review-8c650bbcd535bc41,review,,kîaⁿ lō cêk hûah cêk huah,strode along the road.,59,1,kîaⁿ lō cêk hûah cêk hûah,,true,pending,
007-reading-4e7c3d2e49f9dfdb,reading,,lṳ́ thóiⁿ sî-ceng kṳ́i tíam,look at the clock and see what time it is.,60,1,lṳ́ thóiⁿ sî-ceng kúi tíam,,true,pending,
007-reading-c81a8a00cff84258,reading,,seⁿ lâi ceng-sîn câi,naturally very vigorous.,61,1,seⁿ lâi ceng-sîn căi,,true,pending,
007-review-e879ae8461bf8471,review,,thái-ko̤ cèng ŏi ùe tîeh nâng,,62,1,thái-ko̤ cèng ŏi ùe tîeh nâng a bŏi ?,Is leprosy contagious?,true,pending,
007-review-c555ae7fe9978db1,review,,un-mut cèng,a plague or pestilence.,62,1,un-mût cèng,,true,pending,
007-reading-02153eef99ea6af8,reading,,péng cèng,cip cèng; to hold authority.,63,1,péng cèng; cip cèng,,true,pending,
007-reading-27ff05f96d386249,reading,,"tâng tìn-thâi lâi pōiⁿ cêk ùaⁿ ău, tī-hng cĭu ío uaⁿ-cĕng","after the general-in-chief came and put the country in order, it was more settled and peaceful.",64,1,"tâng tìn-thâi lâi pōiⁿ cek ùaⁿ ău, tī-hng cĭu ío uaⁿ-cĕng",,true,pending,
007-reading-45be431b1c4e3d2b,reading,,cì thiⁿ tī,worship heaven and earth. cì sĭa cek; worship the gods of land and grain.,65,1,cì sĭa cek,,true,pending,
007-review-9d9670b38d79bb71,review,,cì thiⁿ tī,worship heaven and earth. cì sĭa cek; worship the gods of land and grain.,65,1,cì sĭa cek,worship the gods of land and grain.,true,pending,
007-reading-faf3e112365c1cb5,reading,,"ciⁿ lî, irrelevant",evasive.,66,1,ciⁿ lî,,true,pending,
007-review-99ab942a03451d73,review,,"ciⁿ lî, irrelevant",evasive.,66,1,ciⁿ lî,irrelevant; evasive.,true,pending,
007-review-b55d20b29f0ce6aa,review,,ngio-bo̤ cĭ ngio-kíaⁿ,the cat licks the kitten.,66,1,ngio-bó̤ cĭ ngio-kíaⁿ,,true,pending,
007-review-e08d0920d733c37e,review,,siang lî put kùe cêk cìⁿ cṳ tī,not more than a bowsbot apart.,66,1,,not more than a bowshot apart.,true,pending,
007-reading-8b68298a6ea43a81,reading,,cía khak sòi,this is much too small.,68,1,cía khah sòi,,true,pending,
007-reading-1535389d9d6f1a4d,reading,,pńg cĭa,ngŵn cĭa; the original family seat.,68,1,pńg cĭa ; ngŵn cĭa,,true,pending,
007-review-7f48d229e8ef88f8,review,,cìa mô̤h,the tilm under the rind of canes.,68,1,,the film under the rind of canes.,true,pending,
007-review-db354691d3b6e583,review,,cía,,68,1,cía,This indicates that what precedes it is the subject of a proposition; it is also used to arrest attention.,true,pending,
007-review-e35ee65208f80fa6,review,,gân cía,the wise.,68,1,gâu cía,,true,pending,
007-review-4628decadd95066c,review,,mô̤ⁿ ciaⁿ,moss-agales.,69,1,,moss-agates.,true,pending,
007-review-d2622e0134dfaff0,review,,"sîa kâi kìe-cò̤ io-ciaⁿ, cìaⁿ kâi kie-cò̤ sîn-sien","the bad are called elves, and the good are called fairies.",69,1,"sîa kâi kìe-cò̤ io-ciaⁿ, cìaⁿ kâi kìe-cò̤ sîn-sien",,true,pending,
007-reading-bb7d0758c74dad17,reading,,cí cîah cûn cĭu cîah chim cúi,this boat draws much water.,70,1,cí ciah cûn cĭu cîah chim cúi,,true,pending,
007-reading-5a72f74e4761ed4a,reading,,thâng cîah thâng,"tōa thâng cîah sòi thâng; animals live on animals, the larger eating the smaller.",70,1,thâng cîah thâng; tōa thâng cîah sòi thâng,,true,pending,
007-review-15f52c9f6ac16f2e,review,,bô̤ kong m̄ ká cîah lôk,dare not partake of the imperial rations unworthily.,70,1,bô̤ kong m̄ káⁿ cîah lôk,,true,pending,
007-review-050a411a97317226,review,,ciah būe pá,has not yet eaten a full meal.,70,1,cîah būe pá,,true,pending,
007-review-b88f2da50f215258,review,,cîah hó̤ lio,has finished his meal.,70,1,cîah hó̤ lio,,true,pending,
007-review-971bcb032ca55c67,review,,cîah phîⁿ-hun,take snuff.,70,1,cîah phīⁿ-hun,,true,pending,
007-review-4282ba3ab5aa89e5,review,,"cîah pn̄g, ciah píaⁿ, ciah kúe-cí","eats rice, cakes, and fruit.",70,1,"cîah pn̄g, cîah píaⁿ, cîah kúe-cí",,true,pending,
007-review-8658c6620d3b54c9,review,,cò̤-nî cîah kàu ìeⁿ sáng?,How is it that he has become so thin?,70,1,cò̤-nî cîah kàu hìeⁿ sáng?,,true,pending,
007-review-e11fd66e3b0f50af,review,,lṳ́ sî cîah cú-nâng a sĭ cîah ka-kī?,Does your employer board you or do you board yourself?,70,1,lṳ́ sĭ cîah cú-nâng a sĭ cîah ka-kī?,,true,pending,
007-review-f8e435d355b02053,review,,pen̆g bô̤ cong ciah,I can find out nothing about him.,70,1,pĕng bô̤ cong ciah,,true,pending,
