puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
*Che̍k *tieⁿ* mîn tshn̂g,Chĕk *tie* min chŭng,,,一張眠床,,1 Bed,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Che̍k *tsâng* chhiū,Chĕk *chang* chiw,,,一欉樹,一𣜒樹,1 Tree,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Che̍k *uî* tshù,Chĕk *ui* chu,,,一圍厝,,1 Compound,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Che̍k nâng lâi lióu,Chek nang lai liou,,,一人來了,,One man has come,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Chhit *kò* pang,Chit *kaw* pang,,,七塊枋,,7 Boards,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Chhit kâi iû,Chĭt kai yiw,,,七個柚,七丨柚,7 Pumeloes,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Chhiū nì,Chiw ni,,,樹泥,,Sap,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
"*Chhìn-tshái,khie̍h khṳ̀","Chin-chai,khiĕ khur",,,凊彩挈去,稱釆挈去,"Very well, take it",,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Chi a nou kia u kam chek,Chi a nou kia u kam chek,,,此阿孥囝疳癪,此亞孥子疳癪,This child has worms,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,40
"*Chi tsu,si ti-tiang kai","Chi chu,si ti-tiang kai",,,此厝是底𫢗个,此厝是誰個,Whose house is this,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,26
*Chiàⁿ chhiú kau tò chhiú,Chia chiw kaou taw chiw,,,正手交倒手,左手交右手,Pass from one hand to the other,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,34
*Chiàⁿ gu̍eh,Chia guĕ,,,正月,,First month,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Chiàⁿ gu̍eh,Chia guĕ,,,正月,,1st month Feb.,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Chí chheh tî kò ìn,Chi chĕ ti taw in,,,此冊底塊？印,此冊值處印,Where was this book printed,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Chí mue̍h chiè hó,Chi muĕ chie haw,,,此物照好,此物掌好,Keep this safely,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,23
*Chí mue̍h khie̍h khṳ̀ lâu-téng,Chi muĕ khiĕ khur laou-teng,,,此物挈去樓頂,只物挈去樓頂,Carry this up stairs,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Chí mue̍h khie̍h tńg khṳ̀,Chi muĕ khiĕ tung khur,,,此物挈轉去,只物挈轉去,Carry this back,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
"*Chí mue̍h,khie̍h khṳ̀ pãu ji̍t","Chi muĕ,khiĕ khur pak jit",,,此物挈去曝日,,Put this in the sun,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Chí pit sĩ lṳ́ kài meh,Chi pit si lur kai mĕ,,,此筆是汝个咩,此筆是爾箇麽,Is this your pencil,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,23
"*Chí sieⁿ,khie̍h khí lâi","Chi sie,kiĕ ki lai",,,此箱挈起來,,Lift up this box,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
"*Chí ti,lṳ́ tāu lâi liām","Chi kai,lur tak lai niem",,,此的汝讀來唸,此的爾讀來唸,You must learn this by heart,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Chí ēng tsò mi sṳ̄,Chi eng chaw mi sur,,,此用做乜事,,What is this for,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Gi ho̍k,Gi hok,,,疑惑,,Jealousy,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,35
*Hi mō chiang lâi ũ hó,Hi maw chiang lai u haw,,,希望將來有好,,I hope to be well in future,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Hiaⁿ tĩ zû chhiú tsok,Hia ti ju chiw chok,,,兄弟如手足,,Brothers are like hands and feet,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,34
*Him,Him,,,熊,,Bear,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,48
*Hiã,Hia,,,蟻,,Ant,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,18
*Hiēn-tsãi lṳ́ tsò mi sṳ̄,Hien-chai lur chaw mi sur,,,現在汝做乜事,現在爾做乜事,What are you doing now,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Hou chie,Hou chie,,,楜椒,,Pepper,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,51
*Ho̍k chiá i lâi,Hok chia i lai,,,或者伊來,,Perhaps he will come,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Huan kia nâ,Hwan kă na,,,番茄藍,,Cabbage,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,51
*Huang lâi,Huang lai,,,風來,,The wind blows,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,30
*Hue tsai,Huey chai,,,横載,,Beam,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,43
*Huéy toa,Huéy toa,,,㑹單,,Draft,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,45
*Hàm a-nôu-kiáⁿ,Ham a-nou-kia,,,喊阿孥囝,喊亞孥子,Call the boys,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Hâng su,Hang su,,,行書,,Running hand,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Hì kiáⁿ,Hi kia,,,戲囝,戲子,Players,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Hó mīn sek,Haw min sĕk,,,好面色,,A fair complexion,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,34
*Hó nâng,Haw nang,,,好人,,Good man,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Hó pou thâu,Haw pou taou,,,好埠頭,,A good anchorage,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,32
*Hõu,Hou,,,雨,,Rain,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,29
*Hõu sùaⁿ,Hou sua,,,雨傘,,Umbrella,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,53
*Hõu àiⁿ lâi,Hou ai lai,,,雨欲來,,It will rain soon,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,30
*Hùe kói,Huey koi,,,悔改,悔攺,Conversion,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Hûe sièⁿ,Huey sie,,,和尙,,Priests,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Hē,Hey,,,夏,,Summer,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Hē,Hey,,,夏,,Summer,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*I ang bou m siang hah,I ang bou mʼsiang hă,,,伊翁𡚸毋相合,伊翁𡚸不相合,The husband & wife disagree,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,40
*I chheⁿ mê thì m̃ kìⁿ,I chey mey toi mʼki,,,伊青盲看毋見,伊瞽目看不見,He is blind & cannot see,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*I ho̍k,I hok,,,衣服,,Clothes,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,53
*I jī-tsa̍p gūa hùe,I ji-chap goa huey,,,伊二十外歲,,She is upwards of twenty,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*I khṳ̀ tî-kò,I khur ti-taw,,,伊去底塊？,伊去值處,Where has he gone,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*I kiau ngàu m̃ khéng thiaⁿ,I kiou gnaou mʼkeng thia,,,伊驕傲毋肯聽,伊驕傲不肯聽,He is proud & will not listen,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*I kóng sĩm mi sṳ̄,I kong si mi sur,,,伊講甚乜事,,What does he say,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
"*I kū ì, m̃ tāu","I ku i, mʼtak",,,伊故意毋讀,伊故意不讀,He is willful & will not read,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*I m̃ khéng lâi,I mʼkheng lai,,,伊毋肯來,伊不肯來,He won't come,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*I m̃ ùi nâng,I mʼui nang,,,伊毋畏人,伊不畏人,He cares for nobody,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*I tsò ni m̃ õi tsò,I chaw ni mʼoi chaw,,,伊怎呢毋能做,伊怎呢不能做,Why can't he do it,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*In kiaⁿ kṳ̃ tién,In kia kur tien,,,引經據典,,Quote from the classics,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*In ûi phò ngṳ̂n huân ló,In ui poa gnŭrn huan law,,,因爲破銀煩惱,,Sorrowing for the loss of money,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Iâ chí tsâng,Ya chi chang,,,椰枳欉,椰枳丨,Cocoanut,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Iê nâ,Ie na,,,搖籃,,Cradle,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,44
*Ióng ién,Yong yen,,,永遠,,Eternity,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Iû tsâng,Yiw chang,,,柚欉,柚丨,Pumelo,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
"*Iū kiè uá,bô","Lur ham ua,baw",,,汝有叫我無,爾有呌我麽,Did you call me,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Jiâu se,Jiow sey,,,縐紗,,Crape,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,53
*Ji̍p tsṳ-che,Jip chur-chey,,,入書齋,,Enter the school,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Ji̍t ji̍t khiû Sîn-Thiⁿ,Jit jit kiw Sin-Ti,,,日日求神天,,Pray to God every day,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Jī chhit niá tek chhie̍h,Ji chĭt nia tek chiĕ,,,二七領竹蓆,二七領竹丨,27 Bamboo,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī gu̍eh,Ji guĕ,,,二月,,month Mch.,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Jī it,Ji it,,,二一,,21,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Jī it,Ji it,,,二一,,21st,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Jī it *niá* phũe,Ji it *nia* poe,,,二一領被,,21 Blankets,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī jī,Ji ji,,,二二,,22nd,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Jī jī niá zo̍k,Ji ji nia jok,,,二二領褥,,22 Mattresses,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī káu,Ji kaou,,,二九,,29,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Jī káu niá kiaⁿ mông chhie̍h,Ji kaou nia kia bun chiĕ,,,二九領京捫蓆,,29,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī la̍k niá tsháu chhie̍h,Ji lak nia chaou chiĕ,,,二六領草蓆,,26 Mats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī ngõu,Ji gñou,,,二五,,25th,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Jī ngõu niá máng tièⁿ,Ji gñou nia mang ta,,,二五領蠓帳,二五領虻帳,25 Curtains,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī poih niá tin chhie̍h,Ji poĭ nia tin chiĕ,,,二八領籐蓆,二八領籐丨,28,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī saⁿ,Ji sa,,,二三,,23,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Jī saⁿ niá chien,Ji sa nia chien,,,二三領氊,,23 Carpets,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī sì niá phâu,Ji si nia kaou,,,二四領袍,,24 Gowns,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Jī tsa̍p,Ji chap,,,二十,,XX,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,16
*Jī tsa̍p,Ji chap,,,二十,,20th,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Jī tsa̍p chiah tsûn,Ji chap chiă chun,,,二十隻船,二十丨船,20 Boats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Ka chiah,Ka chiă,,,背,,Back,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,33
*Ka sàu,Ka saou,,,咳嗽,咳𠻳,Cough,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Ka ua̍t,Ka sut,,,鉸鉞,,Hinges,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,44
*Kam,Kam,,,監,,Prison,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Kang chieh pe toi,Kang chiĕ pe tʼoi,,,共石平𠕆,,It is hard as a stone,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,23
*Kau liem,Kaou liem,,,鈎䥥,,Sickle,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,46
*Kaⁿ ná tsâng,Ka na chang,,,橄欖欉,橄欖丨,Olive,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Kaⁿ tsâng,Ka chang,,,柑欉,柑𣜒,tree,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Keng tia,Keng tia,,,經㕔,,Zayat,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,43
*Keng-chie tsâng,Keng-chie chang,,,弓蕉欉,芎蕉𣜒,Plantain,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Kha chiu m oi tin tang,Kha chiw mʼoi tin tang,,,骹手毋能舉,脚手不能舉,He cannot move hand or foot,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,34
*Khai tsṳ,Kʼhai chŭr,,,楷書,,Italic,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Khien hàu,Kien haou,,,虔孝,䖍孝,Godliness,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Khien hàu chiá hiáng ióng hok,Kien haou chia hiang yong hok,,,虔孝者享永福,䖍孝者享永福,The godly shall enjoy endless happiness,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Khie̍h kau-i lâi,Khiĕ kaou-i lai,,,挈交椅來,挈茭𬃪來,Bring a chair,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Khie̍h lâi chí,Khiĕ lai chi,,,挈來此,挈來止,Bring it here,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Khie̍h tńg hâiⁿ i,Khiĕ tung hai i,,,挈轉還伊,,Give it back to him,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Khòiⁿ,Kñoi,,,盖,,Cover,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,45
*Khòu thâu tùa,Khou taou toa,,,褲頭帶,,Girdle,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,53
*Khùe khùe tsáu khí,Khuey khuey chaou khi,,,快快走起,,Get up quickly,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Khùn-kiáⁿ i lâi,Kun-kia i lai,,,頃囝伊來,霎時伊來,By and by he will come,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Khũ kiáⁿ,Ku kai,,,臼囝,臼子,Mortar,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,45
*Khṳ̀ gu̍t,Khur goot,,,去夗,去睡,Go to bed,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Khṳ̀ hú i,Khur hu i,,,去輔伊,,Go and help him,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Khṳ̀ m̃ khṳ̀ bô tiāⁿ-tie̍h,Khur mʼkhur baw tia-tiŏ,,,去毋去無定着,去不去無定着,Whether I go or not is uncertain,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Khṳ̀ tshù,Khur chu,,,去厝,,Go home,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Khṳ̀ ē,Kkur ey,,,去下,,Go down,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Kia kí-khì tsò,Lur ka-ki chaw,,,汝家己去做,爾自己去做,Do it yourself,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Kiau ngàu,Kiou gnaou,,,驕傲,,Pride,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Kim-ji̍t i bô lâi,Kim-jit i baw lai,,,今日伊無來,,He did not come today,He did not come to-day,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Kim-ji̍t pit tiāⁿ àiⁿ khṳ̀,Kim-jit pit tia ai khur,,,今日必定欲去,,We shall surely go today,We shall surely go to-day,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Kong tãu,Kong taou,,,公道,,Justice,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Kut chi̍h lióu,Kŭt chĭ liou,,,骨折了,,The bone is broken,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,36
*Kìm chí,Kim chi,,,禁止,,Jailers,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Kóng m̃ tùi khang,Kong mʼtui khang,,,講毋對空,講不對空,You don't speak to the point,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Kóu bûn,Kou bun,,,古文,,Ancient literature,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Kũi lo̍h khṳ̀,Kui lŏ khur,,,跪落去,,Kneel down,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,23
*Kū nî,Ku ni,,,舊年,,Last year,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Kū ì,Ku i,,,故意,,Willful,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Kṳ̃n ji̍t lṳ́ chiàⁿ khṳ̀ tshù,Kurn jit lur chia khur chu,,,近日汝正去厝,近日爾正去厝,You went home recently,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*La̍k kâi kaⁿ,Lak kai ka,,,六個柑,六丨柑,6 Oranges,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*La̍k tieⁿ mãng,Lak tie mang,,,六張網,,6 Nets,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*La̍k tiôu tùa,Lak tiou toa,,,六條帶,六丨帶,6 Bands,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Liú tsâng,Liw chang,,,柳欉,柳丨,Willow,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Lâi chí,Lai chi,,,來此,來止,Come here,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
"*Lâi,lâi khṳ̀ sńg","Lai,lai khur sung",,,來、來去耍,,"Come, let's play",,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
"*Lâi,tâng uá khṳ̀","Lai,tang ua khur",,,來同我去,,"Come, go with me",,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Lãu nâng,Laou nang,,,老人,,Old men,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Lãu si̍t,Laou sit,,,老實,,Honesty,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Lêng-mông tsâng,Lam-mong chang,,,檸檬欉,檸檬丨,Lemon,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Lêng-uāⁿ tsò kùe,Leng-ua chaw kuay,,,另換做過,,Do it over again,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Lông hū,Long hu,,,農夫,,Husband-men,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Lũn-gṳ́,Lun-gŭr,,,論語,,"Discourses, by",,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
"*Lṳ kai ka,u ke","Lur kai ka,u key",,,汝教有假,爾教有假,Your religion is false,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,28
*Lṳ kai sin put neng kiu nang,Lur kai sin put neng kiw nang,,,汝神不能救人,爾神不能救人,Your gods cannot save you,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,28
"*Lṳ́ a-tia ũ hó,meh","Lur a-tia u haw,mĕ",,,汝亞爹有好咩,爾亞爹有好麽,Is your father well,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,23
"*Lṳ́ a-tĩ tshuân-zú,būe","Lur a-ti chuan-ju,bue",,,汝阿弟痊愈未,爾亞弟痊愈否,Has your brother recovered,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,22
*Lṳ́ bô kong-lâu,Lur baw kong-laou,,,汝無功勞,爾無功勞,You have no merit,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ cheng thiaⁿ hok-im,Lur cheng thia hok-im,,,汝曾聽福音,爾嘗聽福音,You have heard the gospel,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ eng kai sìn Iā-sou,Lur eng kai sin Ya-sou,,,汝應該信耶穌,爾應該信耶穌,You should believe in Jesus,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ eng-kai hùe kói,Lur eng-kai huay koi,,,汝應該悔改,爾應該悔攺,You ought to repent,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ ka sàu ũ jie̍h kú,Lur ka saou u jiĕ ku,,,汝咳嗽有若久,爾咳𠻳有若久,How long have you had a cough,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
